date,PFE,NKE,C,TM,BIIB,AZN
20190228,0.021201,0.04702,-0.000465,-0.017293,-0.017287,0.162657
20190329,-0.0203,-0.015164,-0.027509,-0.02495,-0.279351,-0.027658
20190430,-0.043796,0.042988,0.136291,0.04728,-0.030206,-0.068513
20190531,0.031273,-0.119208,-0.114569,-0.048705,-0.043404,-0.007435
20190628,0.043353,0.088281,0.12679,0.054516,0.066487,0.104334
20190731,-0.103416,0.024777,0.016136,0.04081,0.01689,0.051599
20190830,-0.075438,-0.015227,-0.088533,0.012243,-0.075982,0.047685
20190930,0.010689,0.111479,0.073504,0.029549,0.059477,-0.010215
20191031,0.06791,-0.046529,0.040243,0.030188,0.283008,0.100067
20191129,0.013292,0.046734,0.052463,0.011981,0.003683,-0.011218
20191231,0.017134,0.083645,0.063498,0.002354,-0.010273,0.028465
